ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
special effects		efeitos especiais	os efeitos especiais	/uz iˈfɐjtuʃ ʃpɨsiˈajʃ/	/uz iˈfejtus ispesiˈajs/	smp	Técnicas para criar ilusões visuais ou sonoras em filmes.		special effects	/ˈspɛʃəl ɪˈfɛkts/	/ˈspeʃᵊl ɪˈfekts/	n	Visual or sound effects created artificially for a film.		efectos especiales						effets spéciaux						Spezialeffekte						efectes especials						effetti speciali												
film-maker		cineasta	o cineasta	/u siniˈaʃtɐ/	/u siniˈastɐ/	s m/f	O diretor ou criador de filmes.		film-maker	/ˈfɪlmˈmeɪkə˞/	/ˈfɪlmˈmeɪkə/	n	A person who directs or produces films.		cineasta						cinéaste						Filmemacher						cineasta						cineasta												
plot		enredo	o enredo	/u ẽˈʁedu/	/u ẽˈʁedu/	sm	A sequência de eventos ou ações em uma história.		plot	/ˈplɑt/	/ˈplɒt/	n	The sequence of events that form the main story in a book, film, or play.		trama						intrigue						Handlung						trama						trama												
dialogue		diálogo	o diálogo	/u diˈaluɡu/	/u dʒiˈaluɡu/	sm	Troca de falas entre personagens em um filme ou livro.		dialogue	/ˈdaɪəˌlɔɡ/	/ˈdaɪəlɒɡ/	n	Conversations between characters in a film, play, or book.		diálogo						dialogue						Dialog						diàleg						dialogo												
critic		crítico	o crítico	/u ˈkɾitiku/	/u ˈkɾitʃiku/	sm	Pessoa que avalia ou comenta obras artísticas.		critic	/ˈkɹɪtɪk/	/ˈkrɪtɪk/	n	A person who evaluates and reviews artistic works, such as films or books.		crítico						critique						Kritiker						crític						critico												
audience		público	o público	/u ˈpubliku/	/u ˈpubliku/	sm	Conjunto de espectadores ou audiência de uma obra.		audience	/ˈɔdiəns/	/ˈɔːdiəns/	n	The group of people who watch a film, play, or performance.		audiencia						public						publico						públic						audience												
setting		cenário	o cenário	/u sɨˈnaɾiu/	/u seˈnaɾiu/	sm	A ambientação visual de uma cena ou narrativa.		setting	/ˈsɛtɪŋ/	/ˈsetɪŋ/	n	The time and place in which the events of a film or book occur.		escenario						cadre						Schauplatz						escenari						ambientazione												
vivid		vívido	vívido	/ˈvividu/	/ˈvividu/	adj m	Que é intenso, claro ou cheio de vida.		vivid	/ˈvɪvəd/	/ˈvɪvɪd/	adj	Producing strong, clear images or memories.		vívido						vif						lebendig						vivid						vivido												
dramatic		dramático	dramático	/dɾɐˈmatiku/	/dɾɐˈmatʃiku/	adj m	Relativo a drama ou a situações intensas.		dramatic	/dɹəˈmætɪk/	/drəˈmætɪk/	adj	Relating to drama or creating a strong emotional impact.		impactante						dramatique						dramatisch						dramàtic						drammatico												
cinema (movie theater)		cinema	o cinema	/u siˈnɛmɐ/	/u siˈnɛmɐ/	sm	Lugar onde se exibem filmes; a arte cinematográfica.		cinema (movie theater)	/ˈsɪnəmə | ˈmuvi ˈθiətə˞ |/	/ˈsɪnəmə | ˈmuːvi ˈθɪətə |/	n	A place where films are shown, also known as a movie theater.		cine						cinéma						Kino						cinema						cinema												
true story		história real	a história real	/ɐ iˈʃtɔɾiɐ ʁiˈaɫ/	/a isˈtɔɾiɐ ʁiˈaw/	sf	Relato de eventos verídicos.		true story	/ˈtɹu ˈstɔri/	/ˈtruː ˈstɔːri/	n	A narrative based on real events and people.		historia real						histoire vraie						wahre Geschichte						història real						storia vera												
script		roteiro	o roteiro	/u ʁuˈtɐjɾu/	/u ʁoˈtejɾu/	sm	Plano ou texto que detalha a sequência de cenas de um filme ou peça teatral.		script	/ˈskɹɪpt/	/ˈskrɪpt/	n	The written text of a play, film, or broadcast.		guion						scénario						Drehbuch						guió						sceneggiatura												
dull		monótono	monótono	/muˈnɔtunu/	/moˈnɔtunu/	adj m	Que carece de variação; repetitivo ou aborrecido.		dull	/ˈdəl/	/ˈdʌl/	adj	Not interesting or exciting; boring.		aburrido						terne						langweilig						avorrit						noioso												
book tickets		reservar bilhetes	reservar bilhetes	/ʁɨzɨɾˈvaɾ biˈʎɛtɨʃ/	/ʁezeʁˈvaʁ biˈʎɛtes/	exp	Fazer uma reserva para entradas em eventos ou cinema.		book tickets	/ˈbʊk ˈtʰɪkəts/	/ˈbʊk ˈtʰɪkɪts/	exp	To reserve seats for a film, play, or event.		reservar entradas						réserver des billets						Tickets buchen						reservar entrades						prenotare biglietti												
aficionado		entusiasta	o/a entusiasta	/ˈɔɐ ẽtuziˈaʃtɐ/	/ˈɔɐ ẽtuziˈastɐ/	s m/f	Pessoa que demonstra entusiasmo ou grande interesse por algo.		aficionado	/əˌfɪʃiəˈnɑdoʊ/	/əˌfɪʃiəˈnɑːdəʊ/	n	(from Spanish) sb who likes a particular sport, activity, or subject very much and knows a lot	She’s a real aficionado of Italian opera – she knows a lot about it and goes whenever she can.	aficionado					A person who is very knowledgeable and enthusiastic about a particular activity.	amateur						Liebhaber						aficionat						appassionato												
tsunami		tsunami	o tsunami	/u tsunɐˈmi/	/u tsunɐˈmi/	sm	Grande onda marítima causada por movimentos sísmicos no fundo do mar.		tsunami	/sʊˈnɑmi/	/tsuːˈnɑːmi/	n	(from Japanese) an extremely large wave often caused by an earthquake	After the earthquake, there was a tsunami warning, but luckily, it didn’t happen.	tsunami					A large, powerful sea wave caused by an underwater earthquake or volcanic eruption.	tsunami						Tsunami						tsunami						tsunami												
faux pas		gaffe	a gaffe	/ɐ ˈɡaffɨ/	/a ˈɡaffi/	sf	Erro ou deslize que pode causar embaraço ou desconforto social.		faux pas	/ˈfoʊ ˈpʰɑz/	/ˈfəʊ ˈpʰɑː/	n	(from French) an action or remark that causes embarrassment because it is not socially correct	I made a real faux pas when I mentioned to our boss that Sam had been asked to leave his previous job.	metedura de pata					An embarrassing or tactless act or remark in a social situation.	faux pas						Fauxpas						errada						gaffe												
al dente		al dente	al dente	/ˈaɫ ˈdẽtɨ/	/ˈaw ˈdẽtʃi/	exp	Expressão italiana que descreve o ponto ideal de cozedura da massa, firme ao morder.		al dente	/ˈæl ˈdɛnˌteɪ/		adj	(from Italian) not too soft, still with a perfect bite	Don’t overcook the pasta – just until it’s al dente.	al dente					Describes pasta cooked to be firm to the bite.	al dente						al dente						al dente						al dente												
cliché		clichê	o clichê	/u kliˈʃe/	/u kliˈʃe/	sm	Idéia ou expressão muito usada, que perdeu a originalidade.		cliché	/kliˈʃeɪ/	/ˈkliːʃeɪ/	n	(from French) a phrase or an idea that has been used so often that it no longer has meaning and is not interesting	It might be a bit of a cliché, but I think it’s actually true that ‘opposites attract’.	cliché					An overused expression or idea that lacks originality.	cliché						Klischee						cliché						cliché												
schadenfreude		schadenfreude	a schadenfreude	/ɐ ʃʃɐdẽˈfɾewdɨ/	/a sʃadẽˈfɾewdʒi/	sf	Prazer obtido com o infortúnio de outra pessoa; palavra de origem alemã.		schadenfreude	/ˈʃɑdn̩ˌfɹɔɪdə/	/ˈʃɑːdᵊnˌfrɔɪdə/	n	(from German) a feeling of pleasure at the bad things which happen to other people	I’m afraid I felt a certain schadenfreude when my ex-husband told me his girlfriend had left him.	schadenfreude					Pleasure derived from another person’s misfortune.	schadenfreude						Schadenfreude						schadenfreude						schadenfreude												
déjà vu		déjà vu	o déjà vu	/u ˈdɛʒa ˈvu/	/u ˈdɛʒa ˈvu/	sm	Sensação de já ter vivenciado algo que está ocorrendo no presente.		déjà vu	/ˈdeɪˌʒɑ ˈvu/		n	(from French) the feeling that you have experienced sth before.	When we were introduced, I had a sense of déjà vu, even though I knew we had never met before.	déjà vu					The feeling that you have already experienced a current situation.	déjà vu						Déjà-vu						dejà vu						déjà vu												
debacle		debacle	a debacle	/ɐ dɨˈbaklɨ/	/a deˈbakli/	sf	Desastre ou colapso total, especialmente em situações financeiras ou políticas.		debacle	/diˈbɑkəl/	/deɪˈbɑːkᵊl/	n	(from French) an event or situation that is a complete failure and causes embarrassment	Their business venture ended in a complete debacle and the manager resigned.	debacle					A complete and utter failure or disaster.	débaclé						Debakel						dèbacle						debacle												
