#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
Wi-Fi (EN)		Wi-Fi	o Wi-Fi	/u iˈfi/	/u iˈfi/	sm	Tecnologia de rede sem fio que fornece acesso à internet sem cabos.		Wi-Fi	"/#Wi-Fi#/"	/ˈwaɪfaɪ/	n	A wireless networking technology that provides internet access without cables.		Wi-Fi						Wi-Fi						Wi-Fi						Wi-Fi						Wi-Fi												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
update		atualização	a atualização	/ɐ ɐtuɐlizɐˈsɐ̃w̃/	/a atualizaˈsɐ̃w̃/	sf	Nova versão ou melhoria de um software ou aplicativo.		update	/ˌəpˈdeɪt/	/ˈʌpdeɪt/	n	A new version or improvement of software or an application.	You should set up automatic updates.	actualización						mise à jour						Update						actualització						aggiornamento												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
pop-up		janela pop-up	a janela pop-up	/ɐ ʒɐˈnɛlɐ puˈpup/	/a ʒɐˈnɛlɐ poˈpup/	sf	Pequena janela que aparece na tela, geralmente como um anúncio ou notificação.		pop-up	/ˈpʰɑpˌəp/	/ˈpɒp ʌp/	n	An online advertisement that suddenly appears on the screen.	I like reading the paper online, but I find advertising pop-ups very annoying.	ventana emergente						fenêtre pop-up						Pop-up-Fenster						finestra emergent						finestra pop-up												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
coverage		cobertura	a cobertura	/ɐ kubɨɾˈtuɾɐ/	/a kobeʁˈtuɾɐ/	sf	Disponibilidade e intensidade do sinal de rede móvel em uma área específica.		coverage	/ˈkʰəvə˞ɹɪdʒ/	/ˈkʌvərɪdʒ/	n	The availability and strength of a mobile network in a specific area.	There wasn’t any mobile coverage in the village, so I couldn’t call you.	cobertura						couverture						Abdeckung						cobertura						copertura												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
signal (tech)		sinal	o sinal	/u siˈnaɫ/	/u siˈnaw/	sm	Intensidade da conexão entre um dispositivo e uma rede.		signal	/ˈsɪɡnl̩/	/ˈsɪɡnəl/	n	A transmitted electronic communication or reception strength.	In the country, the mobile signal was very weak and nobody could contact us.	señal						signal						Signal						senyal						segnale												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
download (to storage)		baixar	baixar	/bɐjˈʃaɾ/	/bajˈʃaʁ/	v	Transferir dados ou arquivos da internet ou de outro dispositivo para o armazenamento local.		download	/ˈdaʊnˌloʊd/	/ˈdaʊnləʊd/	v	To transfer data or files from the internet or another device to local storage.		descargar						télécharger						herunterladen						descarregar						scaricare												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
stream (transmit content)		transmitir	transmitir	/tɾɐ̃smiˈtiɾ/	/tɾɐ̃smiˈtʃiʁ/	v	Reproduzir conteúdo de mídia em tempo real sem salvá-lo no dispositivo.		stream	/ˈstɹim/	/ˈstriːm/	v	To play media content in real-time without saving it to a device.		transmitir						diffuser						streamen						transmetre						trasmettere												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
scroll (verb)		rolar	rolar	/ʁuˈlaɾ/	/ʁoˈlaʁ/	v	Mover para cima ou para baixo na tela para visualizar mais conteúdo.		scroll	/ˈskɹoʊl/	/skrəʊl/	v	To move text or images up or down on a screen.	If you scroll down the page, you’ll see the attachment at the bottom.	desplazarse hacia abajo (por la pantalla/página)						défiler						scrollen						desplaçar						scorrere												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
swipe (tech)		deslizar	deslizar	/dɨʒliˈzaɾ/	/deʒliˈzaʁ/	v	Passar o dedo sobre uma tela sensível ao toque para navegar ou executar ações.		swipe	/ˈswaɪp/	/swaɪp/	v	To move a finger across a touchscreen.	You have to swipe up to unlock the phone.	deslizar (el dedo)						glisser						wischen						lliscar						scorrere												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology Voc::Technology::2025
hang up (phone)		desligar	desligar	/dɨʒliˈɡaɾ/	/deʒliˈɡaʁ/	v	Encerrar uma chamada telefônica desconectando a linha.		hang up	/ˈhæŋ ˈəp/	/ˈhæŋ ˈʌp/	v	To end a phone call by disconnecting the line.		colgar						raccrocher						auflegen						penjar						riagganciare												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
top up (your phone)		recarregar	recarregar	/ʁɨkɐʁɨˈɡaɾ/	/ʁekaʁeˈɡaʁ/	v	Adicionar crédito ou saldo a um plano de telefone pré-pago.		top up (your phone)	/ˈtʰɑp ˈəp | jə˞ ˈfoʊn |/	/ˈtʰɒp ˈʌp | jə ˈfəʊn |/	v	To add credit or balance to a prepaid phone plan.		recargar						recharger						aufladen						recarregar						ricaricare												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
put somebody through		passar a chamada	passar a chamada	/pɐˈsaɾ ɐ ʃɐˈmadɐ/	/paˈsaʁ a ʃɐˈmadɐ/	exp	Transferir uma chamada para outra pessoa ao telefone.		put somebody through	/ˈpʰʊt ˈsəmˌbədi ˈθɹu/	/ˈpʰʊt ˈsʌmbədi ˈθruː/	exp	To connect a caller to another person on the phone.		pasar la llamada						"passer l&#x27;appel"						durchstellen						passar la trucada						passare la chiamata												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
get through to somebody		conseguir ligar para alguém	conseguir ligar para alguém	/kõsɨˈɡiɾ liˈɡaɾ pɐɾɐ aɫˈɡwɐ̃j̃/	/kõseˈɡiʁ liˈɡaʁ paɾɐ awˈɡwẽj̃/	exp	Conseguir entrar em contato com alguém por telefone.		get through to somebody	/ˈɡɛt ˈθɹu tə ˈsəmˌbədi/	/ˈɡet ˈθruː tə ˈsʌmbədi/	exp	To successfully reach someone by phone.		conseguir comunicarse con alguien						"joindre quelqu&#x27;un"						durchkommen						aconseguir comunicar-se amb algú						riuscire a contattare qualcuno												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
switch off (trans)		desligar	desligar	/dɨʒliˈɡaɾ/	/deʒliˈɡaʁ/	v	Desativar um dispositivo usando o botão de energia.		switch off	/ˈswɪtʃ ˈɔf/	/ˈswɪtʃ ˈɒf/	v	To turn off a device using its power button.	The laptop switched off when it ran out of battery.	apagar						éteindre						ausschalten						apagar						spegnere												Curso::1C1 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Technology::2025
unplug		desconectar	desconectar	/dɨʃkunɨˈktaɾ/	/deskonekˈtaʁ/	v	Desligar fisicamente um dispositivo da fonte de alimentação.		unplug	/ˌənˈpləɡ/	/ʌnˈplʌg/	v	To physically disconnect a device from a power source.	You can unplug your phone now. It’s fully charged.	desenchufar						débrancher						ausstecken						desendollar						scollegare												Curso::1C1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Portugues::Frases::Ligar-Desligar Voc::Phones Voc::Technology Voc::Technology::2025
a cold fish									a cold fish	/ə ˈkʰoʊld ˈfɪʃ/	/ə kəʊld fɪʃ/	exp	Someone who is distant, unfriendly, and unemotional.	My boss is a bit of a cold fish . He’s unfriendly and unemotional.	un tipo frío																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
a heart of gold									a heart of gold	/ə ˈhɑrt əv ˈɡoʊld/	/ə hɑːt əv gəʊld/	exp	A person who is very kind and generous.	She’s so kind and generous. She’s got a heart of gold .	un corazón de oro																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
a quick temper									a quick temper	/ə ˈkwɪk ˈtʰɛmpə˞/	/ə kwɪk ˈtempə/	exp	A tendency to become angry very quickly.	My sister has a quick temper. She gets angry so easily.	(tener) un carácter irascible																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
a real pain in the neck									a real pain in the neck	/ə ˈɹiəl ˈpʰeɪn ˈɪn ðə ˈnɛk/	/ə rɪəl peɪn ɪn ðə nek/	exp	Someone who is very annoying or bothersome.	My brother’s a real pain in the neck . He’s so annoying.	(ser) un verdadero peñazo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
a soft touch									a soft touch	/ə ˈsɔft ˈtʰətʃ/	/ə sɒft tʌtʃ/	exp	A person who is easily persuaded or influenced.	My dad is a soft touch . I can always persuade him to give me extra pocket money.	(ser) fácil de convencer																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
attention to detail									attention to detail	/əˈtʰɛnʃən tə dɪˈtʰeɪl/	/əˈtenʃn tə ˈdiːteɪl/	n	The ability to notice and consider small parts of a task or situation.	I’m sure your work will be perfect. You’ve got great attention to detail .	(prestar) atención al detalle																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
bright									bright	/ˈbɹaɪt/	/braɪt/	adj	Smart, intelligent, or quick to learn.	My daughter is a bright student and gets very good marks.	brillante																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
come across									come across	/ˈkʰəm əˈkɹɔs/	/ˌkʌm əˈkrɒs/	phr v	To give a certain impression when first met.	He comes across as serious, but he actually has a great sense of humour.	dar la impresión de ser																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
conscientious									conscientious	/ˌkɑnʃiˈɛntʃəs/	/kɒnʃiˈenʃəs/	adj	Taking care to do things carefully and correctly.	You have to be conscientious and do things carefully and correctly.	concienzudo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
deep down									deep down	/ˈdip ˈdaʊn/	/diːp daʊn/	adv	"Beneath the surface, in one&#x27;s true feelings or nature."	Deep down , he’s quite insecure.	en el fondo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
determined									determined	/dɪˈtʰɜ˞mənd/	/dɪˈtɜːmɪnd/	adj	Having a strong will to accomplish something.	She’s a determined girl. Once she’s decided to do something, nothing will stop her.	decidido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
down to earth									down to earth	/ˈdaʊn tu ˈɜ˞θ/	/daʊn tu ɜːθ/	adj	Practical, realistic, and not arrogant.	My mum is very practical and down to earth .	con los pies en la tierra																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
full of oneself									full of oneself	/ˈfʊl əv ˌwənˈsɛlf/	/fʊl əv wʌnˈself/	adj	Thinking too highly of oneself; conceited.	"My brother thinks he&#x27;s the most important person in the family. He&#x27;s so full of himself."	engreído																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
gentle									gentle	/ˈdʒɛntl̩/	/ˈdʒentl/	adj	Kind, soft, and careful in action or behavior.	He is a calm and gentle boy.	dócil																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
insecure									insecure	/ˌɪnsɪˈkʰjʊr/	/ɪnsɪˈkjʊə/	adj	Lacking confidence or feeling uncertain about oneself.	She felt nervous and insecure .	inestable																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
lift a finger									lift a finger	/ˈlɪft ə ˈfɪŋɡə˞/	/lɪft əˈfɪŋɡə/	exp	To make even the smallest effort to help.	He never lifts a finger around the house and expects the rest of us to do everything.	levantar un dedo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
on the surface									on the surface	/ˈɔn ðə ˈsɜ˞fəs/	/ɒn ðə ˈsɜːfɪs/	adv	As things appear at first glance.	On the surface , he seems quite nice.	a simple vista																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
refuse to compromise									refuse to compromise	/ɹɪˈfjuz tə ˈkʰɑmpɹəˌmaɪz/	/rɪˈfjuːz tə ˈkɒmprəmaɪz/	v	To not accept a middle ground in a disagreement.	I tried to reach an agreement, but he refused to compromise .	negarse a llegar a un punto intermedio																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
resourceful									resourceful	/ɹɪˈsɔrsfəl/	/rɪˈzɔːsfl/	adj	Good at finding solutions to problems.	Louise is quite resourceful . She’s good at solving problems.	ingenioso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
sarcastic									sarcastic	/sɑrˈkʰæstɪk/	/sɑːˈkæstɪk/	adj	Speaking with irony, often in a mocking way.	Don’t be so sarcastic ! That comment was very cruel.	sarcástico																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
seem self-confident									seem self-confident	/ˈsim ˌsɛlfˈkʰɑnfədənt/	/siːm self ˈkɒnfɪdənt/		To give the impression of being secure and sure of oneself.	He may seem self-confident, but he’s actually quite insecure.	parecer seguro de sí mismo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
self-sufficient									self-sufficient	/ˌsɛlfsəˈfɪʃənt/	/self səˈfɪʃnt/	adj	Able to live or function without help from others.	He’s very self-sufficient. He never needs anyone’s help.	autosuficiente																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
spontaneous									spontaneous	/spɑnˈtʰeɪniəs/	/spɒnˈteɪniəs/	adj	Acting on impulse, without planning.	I’d love to be more spontaneous and not plan things in advance.	espontáneo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
steady									steady	/ˈstɛdi/	/ˈstedi/	adj	Reliable, dependable, and consistent.	He’s a reliable and steady guy.	formal																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
straightforward									straightforward	/ˌstɹeɪtˈfɔrwə˞d/	/streɪtˈfɔːwəd/	adj	Honest and direct in speech or behavior.	She’s honest and straightforward and says just what she thinks.	franco																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
sympathetic									sympathetic	/ˌsɪmpəˈθɛtɪk/	/sɪmpəˈθetɪk/	adj	Showing understanding and compassion toward others.	Our manager is not very sympathetic . He never tries to understand our problems.	comprensivo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
take advantage of									take advantage of	/ˈtʰeɪk ədˈvæntɪdʒ əv/	/teɪk ədˈvɑːntɪdʒ əv/	v	To exploit someone or something for personal gain.	She’s very generous and trusting so some people take advantage of her.	aprovecharse de																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
tend to avoid									tend to avoid	/ˈtʰɛnd tu əˈvɔɪd/	/tend tu əˈvɔɪd/	v	To usually try to stay away from something.	I don’t like arguing with people, so I tend to avoid conflict.	tratar de evitar																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
the life and soul of the party									the life and soul of the party	/ðə ˈlaɪf ənd ˈsoʊl əv ðə ˈpʰɑrti/	/ðə laɪf ən səʊl əv ðə ˈpɑːti/	exp	Someone who is very lively and entertaining at social events.	"My best friend is the life and soul of the party . She&#x27;s always making everybody laugh."	(ser) la alegría de la huerta																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
thorough									thorough	/ˈθɜ˞ɹoʊ/	/ˈθʌrə/	adj	Paying attention to detail; complete and precise.	You have to be very thorough if you want to be a researcher.	riguroso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
"wouldn&#x27;t hurt a fly"									"wouldn&#x27;t hurt a fly"	/ˈwʊdn̩t ˈhɜ˞t ə ˈflaɪ/	/ˈwʊdnt hɜːt ə flaɪ/	exp	A very gentle and non-violent person.	"He seems aggressive sometimes, but in fact he wouldn&#x27;t hurt a fly ."	no matar una mosca																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
academic qualifications									academic qualifications	/ˌækəˈdɛmɪk ˌkwɑləfəˈkʰeɪʃənz/	/ækəˈdemɪk kwɒlɪfɪˈkeɪʃnz/	n pl	Certificates or degrees proving educational achievements.	She left school at 14 without any academic qualifications.	titulación académica																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
apply for									apply for	/əˈplaɪ ˈfɔr/	/əˈplaɪ fə/	v	To formally request something, such as a job.	I’m going to apply for a job this summer.	solicitar																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be fired									be fired	/ˈbi ˈfaɪə˞d/	/bi ˈfaɪəd/	v	To lose one’s job due to poor performance or misconduct.	If you keep on being late for work, you are going to be fired .	ser despedido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be laid off									be laid off	/ˈbi ˈleɪd ˈɔf/	/bi leɪd ɒf/	phr v	"To lose one&#x27;s job due to company downsizing or restructuring."	Many colleagues were laid off when the company was restructured.	ser despedido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be made redundant									be made redundant	/ˈbi ˈmeɪd ɹɪˈdəndənt/	/bi meɪd rɪˈdʌndənt/	v	To be dismissed from work because the job is no longer needed.	There has been a decrease in sales and some employees may be made redundant.	ser despedido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
benefits									benefits	/ˈbɛnəˌfɪts/	/ˈbenɪfɪts/	n pl	Extra advantages given by an employer, like health insurance or bonuses.	The salary is not great, but the company offers generous benefits.	incentivos																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be off work									be off work	/ˈbi ˈɔf ˈwɜ˞k/	/bi ɒf wɜːk/	v	To be temporarily not working, often due to leave or sickness.	"I ’m off work this week and we&#x27;re going away on holiday."	tener libre																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be out of work									be out of work	/ˈbi ˈaʊt əv ˈwɜ˞k/	/bi aʊt əv wɜːk/	v	To be unemployed.	I ’ve been out of work for two months now.	estar sin trabajo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
be sacked									be sacked	/ˈbi ˈsækt/	/bi sækt/	v	To be dismissed from a job.	If you don’t start working harder, you’ll be sacked soon.	ser despedido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
career ladder									career ladder	/kə˞ˈɹɪr ˈlædə˞/	/kəˈrɪə ˈlædə/	n	A series of levels of job positions leading to career growth.	You need to work hard if you want to move up the career ladder.	escalafón profesional																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
challenging									challenging	/ˈtʃæləndʒɪŋ/	/ˈtʃælɪndʒɪŋ/	adj	Demanding effort and skill.	Teaching can be a very challenging profession.	exigente																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
colleague									colleague	/ˈkʰɑˌliɡ/	/ˈkɒliːg/	n	A person you work with in a professional environment.	I’m helping out a new colleague at work.	compañero																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
compassionate leave									compassionate leave	/kəmˈpʰæʃənət ˈliv/	/kəmˈpæʃənət liːv/	n	Time off work given due to family or personal emergencies.	My dad is seriously ill so I’m on compassionate leave .	permiso por motivos familiares																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
co-worker									co-worker	/ˌkoʊˈwɜ˞kə˞/	/kəʊ ˈwɜːkə/	n	Someone who works with you in the same company or organization.	My co-worker has been laid off.	compañero de trabajo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
dead-end (adj)									dead-end	/ˈdɛdˌɛnd/	/ded ˈend/	adj	A job or situation with no prospects for advancement.	She got a dead-end job at the local factory.	sin porvenir																																				Curso::1C1::File_1 Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Compound-Adjectives Curso::1C1::Vocabulary-Bank::Money Curso::1C1::Vocabulary-Bank::Work Voc::Money
demanding									demanding	/dɪˈmændɪŋ/	/dɪˈmɑːndɪŋ/	adj	Requiring a lot of effort and concentration.	Being a surgeon is very demanding because of the high pressure .	exigente																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
employ									employ	/ɪmˈplɔɪ/	/ɪmˈplɔɪ/	v	To provide someone with a job.	The new factory will employ 200 people.	dar empleo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
events manager									events manager	/ɪˈvɛnts ˈmænɪdʒə˞/	/ɪˈvents ˈmænɪdʒə/	n	A person responsible for organizing and coordinating events.	I work as an events manager, organizing conferences for companies.	organizador de eventos																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
fast track									fast track	/ˈfæst ˈtɹæk/	/fɑːst træk/	n	A quicker route to promotion or success.	People with good qualifications are sometimes put on a fast track and promoted more quickly.	vía rápida																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
