like water off a duck’s back		como água em penas de pato	como água em penas de pato	ˈkɔmu ˈaɡwɐ ˈɐ̃j̃ ˈpɛnɐʒ dɨ ˈpatu	ˈkɔmu ˈaɡwɐ ˈẽj̃ ˈpɛnas dʒi ˈpatu	exp	Algo que não se afeta por problemas.		like water off a duck’s back	ˈlaɪk ˈwɔtə˞ ˈɔf ə ˈdəks ˈbæk	ˈlaɪk ˈwɔːtər ˈɒf ə ˈdʌks ˈbæk	exp	A criticism or insult that has no effect on someone.	I told him everything I thought about him, but it was like water off a duck’s back .	como agua en las plumas de un pato						comme l'eau sur les plumes d'un canard						abperlen wie Wasser von einer Ente						com aigua sobre les plomes d'un ànec						come l'acqua sulle piume di un'anatra												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
smell a rat		cheirar uma ratoeira	cheirar uma ratoeira	ʃɐjˈɾaɾ ˈumɐ ʁɐtuˈɐjɾɐ	ʃejˈɾaʁ ˈumɐ ʁatoˈejɾɐ	exp	Suspeitar de uma armadilha.		smell a rat	ˈsmɛl ə ˈɹæt	ˈsmel ə ˈræt	exp	To suspect that something is wrong or dishonest.	They say no one is going to be fired, but I smell a rat.	sentir algo raro						ressentir un piège						etwas faul riechen						ensumar alguna cosa rara						sentire odore di bruciato												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
the lion’s share		a maior parte	a maior parte	ɐ mɐjˈɔɾ ˈpaɾtɨ	a majˈɔʁ ˈpaʁtʃi	exp	A maior fração ou porção.		the lion’s share	ðə ˈlaɪənz ˈʃɛr	ðə ˈlaɪənz ˈʃeə	exp	The largest or best portion of something.	When they divorced, his wife got the lion’s share of everything they owned.	la mayor parte						la part du lion						der Löwenanteil						la major part						la maggior parte												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
with his tail between his legs		com o rabo entre as pernas	com o rabo entre as pernas	ˈkõ u ˈʁabu ˈẽtɾɨ ɐʃ ˈpɛɾnɐʃ	ˈkõ u ˈʁabu ˈẽtɾi aʃ ˈpɛʁnas	exp	Demonstrar medo ou submissão.		with his tail between his legs	ˈwɪθ ˈhɪz ˈtʰeɪl bɪˈtwin ˈhɪz ˈlɛɡz	wɪð hɪz ˈtʰeɪl bɪˈtwiːn hɪz ˈleɡz	exp	Feeling ashamed or embarrassed after failure.	After playing so badly, he walked off with his tail between his legs.	con el rabo entre las piernas						la queue entre les jambes						den Schwanz eingezogen						amb la cua entre les cames						con la coda tra le gambe												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
anemone		anêmona	a anêmona	ɐ ɐˈnemunɐ	a ɐˈnemunɐ	sf	Animal marinho com tentáculos e corpo gelatinoso.		anemone	əˈnɛməni	əˈneməni	n	A type of flower or sea creature, depending on context.		anémona						anémone						Anemone						anemona						anemone												English::Vocabulary Portugues::VOC::Animais::Marinos Vocabulary::Animals Vocabulary::Animals::English
shrimp		camarão	o camarão	u kɐmɐˈɾɐ̃w̃	u kɐmaˈɾɐ̃w̃	sm	Crustáceo marinho muito apreciado na culinária.		shrimp	ˈʃɹɪmp	ˈʃrɪmp	n	A small, swimming crustacean often used as food.		camarón						crevette						Garnele						gamba						gambero												Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Food Vocabulary::Sea_Animals Vocabulary::Seafood
blackbird	<img src="_blackbird.JPG">	melro	o melro	u ˈmɛɫʁu	u ˈmɛwʁu	sm	Pássaro canoro de plumagem negra ou escura.		blackbird	ˈblækˌbɜ˞d	ˈblækbɜːd	n	A type of songbird with black plumage, common in Europe and North America.	A blackbird has nested in my garden.	mirlo						merle						Amsel						merla						merlo												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English::Vocabulary Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Birds Vocabulary::Crows
filly (horse)	<img src="_filly_horse.JPG">	potranca	a potranca	ɐ puˈtɾɐ̃kɐ	a poˈtɾɐ̃kɐ	sf	Jovem égua antes de atingir a maturidade.		filly	ˈfɪli	ˈfɪli	n	A young female horse, typically under four years old.		potranca						pouliche						Jungstute						potranca						puledra												Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Horses
mare		égua	a égua	ɐ ˈɛɡwɐ	a ˈɛɡwɐ	sf	Fêmea adulta do cavalo.		mare	ˈmɛr	ˈmeə	n	An adult female horse.		yegua						jumente						Stute						egua						giumenta												Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Horses
mule		mula	a mula	ɐ ˈmulɐ	a ˈmulɐ	sf	Híbrido de cavalo e jumento, geralmente estéril.		mule	ˈmjul	ˈmjuːl	n	A hybrid animal resulting from the cross between a horse and a donkey.		mula						muletière						Maultier						mula						mulo												Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Horses
animal charity		instituição de caridade animal	a instituição de caridade animal	ɐ ĩʃtitujˈsɐ̃w̃ dɨ kɐɾiˈdadɨ ɐniˈmaɫ	a ĩstʃitujˈsɐ̃w̃ dʒi kaɾiˈdadʒi ɐniˈmaw	sf	Organização que cuida de animais abandonados ou maltratados.		animal charity	ˈænəməl ˈtʃɛrəti	ˈænɪməl ˈtʃærɪti	n	An organization dedicated to protecting and caring for animals.	He works for an animal charity .	organización benéfica de animales						association de protection des animaux						Tierschutzorganisation						protectora d'animals						associazione per la protezione degli animali												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
animal rights activist		ativista dos direitos dos animais	o/a ativista dos direitos dos animais	ˈɔɐ ɐtiˈviʃtɐ ˈdɔʒ diˈɾɐjtuʒ ˈdɔz ɐniˈmajʃ	ˈɔɐ atʃiˈvistɐ ˈdɔs dʒiˈɾejtus ˈdɔs ɐniˈmajs	s m/f	Pessoa que luta pelos direitos dos animais.		animal rights activist	ˈænəməl ˈɹaɪts ˈæktɪvɪst	ˈænɪməl ˈraɪts ˈæktɪvɪst	n	A person who campaigns for the ethical treatment of animals.	She is an animal rights activist.	activista por los derechos de los animales						militant des droits des animaux						Tierrechtsaktivist						activista pels drets dels animals						attivista per i diritti degli animali												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
beak		bico	o bico	u ˈbiku	u ˈbiku	sm	Parte rígida e pontiaguda de aves e outros animais.		beak	ˈbik	ˈbiːk	n	The hard, pointed mouthpart of a bird.	Male blackbirds have yellow beaks.	pico						bec						Schnabel						bec						becco												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
bee		abelha	a abelha	ɐ ɐˈbɐʎɐ	a aˈbeʎɐ	sf	Inseto que produz mel e poliniza flores.		bee	ˈbi	ˈbiː	n	A flying insect known for producing honey and pollinating flowers.	I’m scared of bees. I’m allergic to their stings.	abeja						abeille						Biene						abella						ape												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
cage		gaiola	a gaiola	ɐ ɡɐjˈɔlɐ	a ɡajˈɔlɐ	sf	Recipiente fechado para manter aves ou pequenos animais.		cage	ˈkʰeɪdʒ	ˈkʰeɪdʒ	n	A structure of bars or wire in which animals are kept.	I hate seeing animals in cages.	jaula						cage						Käfig						gàbia						gabbia												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
calf		bezerro	o bezerro	u bɨˈzɛʁu	u beˈzɛʁu	sm	Filhote de boi ou vaca.		calf	ˈkʰæf	ˈkʰɑːf	n	A young cow or bull.	The cow had a calf last night.	ternero						veau						Kalb						vedell						vitello												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
canary		canário	o canário	u kɐˈnaɾiu	u kɐˈnaɾiu	sm	Ave canora geralmente criada em gaiolas.		canary	kəˈnɛri	kəˈneəri	n	A small yellow songbird often kept as a pet.	Please keep the canary in the cage.	canario						canari						Kanarienvogel						canarí						canarino												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
chick		pintinho	o pintinho	u pĩˈtiɲu	u pĩˈtʃiɲu	sm	Filhote de galinha ou pássaro jovem.		chick	ˈtʃɪk	ˈtʃɪk	n	A baby bird, especially a young chicken.	There were a few chicks in the yard.	pollito						poussin						Küken						pollastrell						pulcino												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
claw		garra	a garra	ɐ ˈɡaʁɐ	a ˈɡaʁɐ	sf	Estrutura pontiaguda usada por animais para agarrar ou rasgar.		claw	ˈklɔ	ˈklɔː	n	A sharp, curved nail found on the feet of some animals.	Be careful with the cat’s claws. They’re sharp.	garra						griffe						Kralle						urpa						artiglio												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
cub		filhote	o filhote	u fiˈʎɔtɨ	u fiˈʎɔtʃi	sm	Animal jovem, especialmente mamíferos.		cub	ˈkʰəb	ˈkʰʌb	n	A young carnivorous animal such as a lion, bear, or wolf.	The film is about a lion cub that gets separated from its family.	cachorro						jeune animal						Jungtier						cachorretó						cucciolo												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
endangered species		espécie em extinção	a espécie em extinção	ɐ ˈʃpɛsiɨ ˈɐ̃j̃ iʃtĩˈsɐ̃w̃	a isˈpɛsii ˈẽj̃ iʃtĩˈsɐ̃w̃	sf	Espécie cuja população está ameaçada de extinção.		endangered species	ɪnˈdeɪndʒə˞d ˈspiʃiz	ɪnˈdeɪndʒəd ˈspiːʃiːz	n	A group of animals or plants at risk of extinction.	The sea turtle is an endangered species.	especie en peligro de extinción						espèce en voie de disparition						bedrohte Tierart						espècie en perill d'extinció						specie in via di estinzione												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
environment		meio ambiente	o meio ambiente	u ˈmɐju ɐ̃biˈẽtɨ	u ˈmeju ɐ̃biˈẽtʃi	sm	Conjunto de condições naturais que rodeiam um ser vivo.		environment	ɪnˈvaɪɹənmənt	ɪnˈvaɪrənmənt	n	The natural world or conditions in which animals live.	It is important to respect natural animal environments.	medio ambiente						environment						Umwelt						medi ambient						ambiente												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
fin		barbatana	a barbatana	ɐ bɐɾbɐˈtɐnɐ	a baʁbaˈtɐnɐ	sf	Extremidade natatória de peixes e mamíferos aquáticos.		fin	ˈfɪn	ˈfɪn	n	A flattened appendage used by fish for swimming.	Fish use their fins for swimming.	aleta						nageoire						Flosse						aleta						pinna												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
foal		potro	o potro	u ˈpɔtɾu	u ˈpɔtɾu	sm	Cavalo jovem, especialmente antes de ser domado.		foal	ˈfoʊl	ˈfəʊl	n	A young horse, especially one under a year old.	I love foals. They are so beautiful.	potro						poulain						Fohlen						potrillo						puledro												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English Vocabulary::Horses
fur		pelagem	a pelagem	ɐ pɨˈlaʒɐ̃j̃	a peˈlaʒẽj̃	sf	Pelagem ou cobertura de pelos de um animal.		fur	ˈfɜ˞	ˈfɜː	n	The thick, soft hair that covers the bodies of some animals.	Some animals are hunted for their fur.	pelaje						poil						Fell						pelatge						pelliccia												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
goldfish		peixinho dourado	o peixinho dourado	u pɐjˈʃiɲu doˈɾadu	u pejˈʃiɲu doˈɾadu	sm	Peixe ornamental de cor dourada.		goldfish	ˈɡoʊldˌfɪʃ	ˈɡəʊldfɪʃ	n	A small, orange freshwater fish commonly kept as a pet.	I have to buy a new tank for the goldfish .	pez dorado						poisson rouge						Goldfisch						peixet daurat						pesce rosso												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
hive		colmeia	a colmeia	ɐ kɔɫˈmɐjɐ	a kɔwˈmejɐ	sf	Habitação de abelhas onde produzem mel.		hive	ˈhaɪv	ˈhaɪv	n	A structure where bees live and produce honey.	There was a hive full of bees in the park near the school.	colmena						ruche						Bienenstock						rusc						alveare												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
horn		chifre	o chifre	u ˈʃifɾɨ	u ˈʃifɾi	sm	Estrutura óssea usada para defesa ou ataque.		horn	ˈhɔrn	ˈhɔːn	n	A hard, pointed growth on the head of some animals, such as rams or cattle.	Rams have curved horns.	cuerno						corne						Horn						banya						corno												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
kennel		canil	o canil	u kɐˈniɫ	u kɐˈniw	sm	Abrigo para cães geralmente abandonados ou resgatados.		kennel	ˈkʰɛnl̩	ˈkʰenᵊl	n	A small shelter or house for a dog.	My dog usually sleeps in a kennel .	perrera						chenil						Zwinger						canera						canile												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
kid		cabrito	o cabrito	u kɐˈbɾitu	u kaˈbɾitu	sm	Filhote de cabra.		kid	ˈkʰɪd	ˈkʰɪd	n	A young goat.	On the farm we saw some goats and their newborn kids.	cabrito						chevreau						Zicklein						cabrit						capretto												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
nest		ninho	o ninho	u ˈniɲu	u ˈniɲu	sm	Estrutura feita por pássaros para proteger seus ovos.		nest	ˈnɛst	ˈnest	n	A structure built by birds for laying eggs and raising young.	Have you seen that bird’s nest ? I think there are eggs in there.	nido						nid						Nest						niu						nido												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
paw		pata	a pata	ɐ ˈpatɐ	a ˈpatɐ	sf	Pé de aves e animais quadrúpedes.		paw	ˈpʰɔ	ˈpʰɔː	n	The foot of an animal with claws, such as a dog or cat.	The cat had white paws.	pata						patte						Pfote						pota						zampa												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
puppy		cachorrinho	o cachorrinho	u kɐʃuˈʁiɲu	u kaʃoˈʁiɲu	sm	Cão jovem, filhote.		puppy	ˈpʰəpi	ˈpʰʌpi	n	A young dog.	The dog had seven puppies.	cachorro						chiot						Welpe						cadell						cucciolo												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
shell (animal)		concha	a concha	ɐ ˈkõʃɐ	a ˈkõʃɐ	sf	Cobertura dura de moluscos e crustáceos.		shell	ˈʃɛl	ˈʃel	n	The hard outer covering of some animals, such as turtles or snails.	Snail shells break easily, so don’t tread on them.	concha						coquille						Schale						clova						conchiglia												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
stable		estábulo	o estábulo	u ˈʃtabulu	u isˈtabulu	sm	Local para cavalos e outros animais de fazenda.		stable	ˈsteɪbəl	ˈsteɪbᵊl	n	A building where horses are kept.	The horse was led back to the stable .	establo						écurie						Stall						establest						maneggio												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
tail		cauda	a cauda	ɐ ˈkawdɐ	a ˈkawdɐ	sf	Extremidade posterior de animais.		tail	ˈtʰeɪl	ˈtʰeɪl	n	The part of an animal’s body that extends from its back.	The dog was wagging its tail wildly.	cola						queue						Schwanz						cua						coda												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
tank		tanque	o tanque	u ˈtɐ̃kɨ	u ˈtɐ̃ki	sm	Recipiente para água ou manutenção de peixes.		tank	ˈtʰæŋk	ˈtʰæŋk	n	A container for keeping fish or other aquatic creatures.	We bought a new fish tank . It’s really big and looks great.	tanque						bassin						Behälter						tanc						vasca												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
wing		asa	a asa	ɐ ˈazɐ	a ˈazɐ	sf	Membro que permite o voo nas aves.		wing	ˈwɪŋ	ˈwɪŋ	n	The limb used by birds and insects for flying.	The bird had a broken wing and couldn’t fly.	ala						aile						Flügel						ala						ala												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
infestation		infestação	a infestação	ɐ ĩfɨʃtɐˈsɐ̃w̃	a ĩfestaˈsɐ̃w̃	sf	Superpopulação de insetos ou pragas.		infestation	ˌɪnˌfɛˈsteɪʃən	ˌɪnfesˈtʰeɪʃᵊn	n	A large number of insects or animals causing damage in a place.	She had an infestation of insects in her house.	infestación						infestation						Befall						infestació						infestazione												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
shellfish		marisco	o marisco	u mɐˈɾiʃku	u maˈɾisku	sm	Molusco de concha comestível.		shellfish	ˈʃɛlˌfɪʃ	ˈʃelfɪʃ	n	A type of seafood including shrimp, crabs, and clams.	I am extremely allergic to shellfish , so can&#x27;t eat it.	marisco						coquillage						Schalentier						marisc						frutti di mare												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
sting		picada	a picada	ɐ piˈkadɐ	a piˈkadɐ	sf	Picada de inseto ou animal venenoso.		sting	ˈstɪŋ	ˈstɪŋ	n	A wound or irritation caused by an insect or animal.	A wasp sting can be really painful.	picadura						piqûre						Stich						picada						puntura												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
chikilidae eggs	<img src="_chikilidae_eggs.JPG">	ovos de chikilidae	os ovos de chikilidae	uz ˈɔvuʒ dɨ ʃiiliˈdai	uz ˈɔvus dʒi ʃiiliˈdai	smp	Ovos de um tipo raro de anfíbio.		chikilidae eggs	#chikilidae# ˈɛɡz	#chikilidae# ˈeɡz	n	Eggs of a small amphibian species, possibly referenced metaphorically in Attack on Titan.	Scientists discovered a nest of chikilidae eggs near the riverbank.	huevos de chikilidae						œufs de chikilidae						Chikilidae-Eier						ous de chikilidae						uova di chikilidae												English::Vocabulary My-Choice::FanFics::Ein-Riese My-Choice::FanFics::Titan-Eren Vocabulary::Animals Vocabulary::Animals::English Vocabulary::AOT Vocabulary::Crazy_Difficult Vocabulary::My_Choice
buck (n)	<img src="_buck_deer.JPG">	veado	o veado	u viˈadu	u viˈadu	sm	Mamífero ruminante com chifres ramificados.		buck	ˈbək	ˈbʌk	n	A male deer. With "B"		ciervo						mâle						Rehbock						daina						cervo												English::Vocabulary My-Choice::FanFics::Lost-in-the-Cosmos-Lonely My-Choice::FanFics::Titan-Eren Vocabulary::Animals Vocabulary::Animals::English Vocabulary::AOT Vocabulary::Deer Vocabulary::My_Choice
