bottom (n)(pron)		fundo							bottom	/ˈbɑtəm/	/ˈbɒtᵊm/	n	The lowest part of something.		fondo						fond						Boden						fons						fondo												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
bottlenecked (adj)									bottlenecked	/ˈbɑtl̩ˌnɛkt/	/ˈbɒtᵊlnekt/	adj	Restricted or slowed down due to congestion.	His thoughts are bottlenecked right now.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Clean-Dirty Vocabulary::Feelings Vocabulary::Thinking
bailing (v)									bailing	/ˈbeɪlɪŋ/	/ˈbeɪlɪŋ/	v	Removing water from a boat by scooping or pumping it out.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Ships
buck (n)									buck	/ˈbək/	/ˈbʌk/	n	A male deer.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::Animals Vocabulary::AOT Vocabulary::Deer
bummer (n)									bummer	/ˈbəmə˞/	/ˈbʌmə/	n	A disappointing or unfortunate event.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
bunk (n)									bunk	/ˈbəŋk/	/ˈbʌŋk/	n	A bed, especially in a shared sleeping space.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Beds Vocabulary::Military Vocabulary::Sleep
bustling (celebration)		agitado	agitado	/ɐʒiˈtadu/	/aʒiˈtadu/	adj m	Cheio de atividade e energia, muitas vezes descrevendo um lugar animado.	O mercado estava agitado, cheio de pessoas comprando comida para a festa.	bustling	/ˈbəsəlɪŋ/	/ˈbʌslɪŋ/	adj	Full of activity and energy, often describing a lively place.	The bustling market was filled with people buying food for the festival.	bullicioso						animé						belebte						enrenouat						animato												Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Festivals
butt (n)(pron)		nádegas							butt	/ˈbət/	/ˈbʌt/	n	The rear part of the body; also, the end of something.		nalgas						fesses						Po						bes						culo												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
but (conj)(pron)		mas							but	/ˈbət/	/bʌt/	conj	Used to introduce a contrast or exception.		pero						mais						aber						però						ma												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
butthead (n)									butthead	/ˈbətˌhɛd/	/ˈbʌthed/	n	(Informal, mildly insulting) A foolish or annoying person, less offensive than &quot;idiot&quot; but still used playfully or rudely.	"I don't give a damn about the skirt, we thought you were dead, you butthead."																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Insults
buttercup (flower)		ranúnculo							buttercup	/ˈbətə˞ˌkəp/	/ˈbʌtəkʌp/	n	A small yellow wildflower.		ranúnculo						renoncule						Hahnenfuß						ranuncle						ranuncolo												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::Flowers Vocabulary::My_Choice
button (n)(pron)		botão							button	/ˈbətn̩/	/ˈbʌtᵊn/	n	A small, round object used for fastening clothes or operating a device.		botón						bouton						Knopf						botó						pulsante												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
barren (adj)		estéril							barren	/ˈbɛrən/	/ˈbærᵊn/	adj	Land that is too poor to produce vegetation.		estéril						stérile						unfruchtbar						estèril						arido												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
barely (adv)									barely	/ˈbɛrli/	/ˈbeəli/	adv	Almost not; just enough.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
bet (v)(pron)		apostar							bet	/ˈbɛt/	/ˈbet/	v	To risk something on the outcome of an event.		apostar						parier						wetten						apostar						scommettere												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
beam (n)									beam	/ˈbim/	/ˈbiːm/	n	A long, sturdy piece of wood or metal used for construction.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
bid for assistance									bid for assistance	/ˈbɪd fə˞ əˈsɪstəns/	/ˈbɪd fər əˈsɪstᵊns/	n	An effort or request to obtain help.	The mayor’s bid for assistance after the flood was quickly answered by volunteers.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Ein-Riese FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Help
blocker (n)(pron)		bloqueador							blocker	/ˈblɑkə˞/	/ˈblɒkə/	n	Something that prevents progress or action.		bloqueador						obstacle						Blocker						bloquejador						bloccante												English::Hard_to_Pronounce English::Vocabulary Vocabulary::Chamba Vocabulary::English Vocabulary::My_Choice
blunt (adj)									blunt	/ˈblənt/	/ˈblʌnt/	adj	Direct and straightforward, sometimes to the point of rudeness.	He's earnest and blunt, endearing him to a lot of the cadets.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Personality Vocabulary::Rude
blizzard (n)									blizzard	/ˈblɪzə˞d/	/ˈblɪzəd/	n	A severe snowstorm with strong winds.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Climate::Storms
bloom (v)		florescer							bloom	/ˈblum/	/ˈbluːm/	v	To produce flowers or come into full beauty.		florecer						fleurir						blühen						florir						fiorire												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::Flowers Vocabulary::My_Choice Vocabulary::Plants
blooms (flowers)		flores							blooms	/ˈblumz/	/ˈbluːmz/	np	Flowers in full blossom.		flores						fleurs						Blumen						flors						fiori												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::Flowers Vocabulary::My_Choice
both (pron)(pron)		ambos							both	/ˈboʊθ/	/ˈbəʊθ/	pron	Referring to two things or people together.		ambos						les deux						beide						ambdós						entrambi												English::Hard_to_Pronounce English::Vocabulary Vocabulary::Chamba Vocabulary::English Vocabulary::My_Choice
breakthrough (trying for the first time)									breakthrough	/ˈbɹeɪkˌθɹu/	/ˈbreɪkθruː/	n	A significant achievement after overcoming a challenge.	Finally learning how to swim was a breakthrough moment in my childhood.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Experiences::New Vocabulary::Life
brick (n)									brick	/ˈbɹɪk/	/ˈbrɪk/	n	A rectangular block of clay used for building.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
broad (slang woman)									broad	/ˈbɹɔd/	/ˈbrɔːd/	n	A slang term for a woman, often informal or outdated.	He walked into the bar and started chatting with a broad in a red dress.																																					English::Vocabulary Vocabulary::AOT Vocabulary::My_Choice FanFics::Ein-Riese FanFics::Titan-Eren Vocabulary::AOT Vocabulary::People::Women Vocabulary::Slang
bush (n)									bush	/ˈbʊʃ/	/ˈbʊʃ/	n	A dense plant with multiple stems.	After 30 minutes they make their way to the clearing, there is a spot of blood on the ground, and Eren immediately heads into the bush.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Forests Vocabulary::Nature Vocabulary::Trees
dazzling (celebration)		deslumbrante	deslumbrante	/dɨʒlũˈbɾɐ̃tɨ/	/deʒlũˈbɾɐ̃tʃi/	adj m	Extremamente brilhante ou impressionante, frequentemente referindo-se a luzes ou performances.	O espetáculo de fogos de artifício foi absolutamente deslumbrante, iluminando o céu da noite.	dazzling	/ˈdæzəlɪŋ/	/ˈdæzlɪŋ/	adj	Extremely bright or impressive, often referring to lights or performances.	The fireworks display was absolutely dazzling, lighting up the night sky.	deslumbrante						éblouissant						glänzend						enlluernador						abbagliante												Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Festivals
Taoism		Taoismo							Taoism	/ˈdaʊˌɪzəm/	/ˈtʰaʊɪzᵊm/	n	A Chinese philosophical and religious tradition emphasizing harmony with the Tao, the fundamental nature of the universe.		Taoísmo						taoïsme						Taoismus						taoisme						taoismo												English::Vocabulary Phylosophy Vocabulary::Crazy_Difficult Vocabulary::English Vocabulary::My_Choice
Day of the Dead (celebration)									Day of the Dead	/ˈdeɪ əv ðə ˈdɛd/	/ˈdeɪ əv ðə ˈded/	n	A Mexican holiday honoring deceased loved ones with altars, offerings, and celebrations.	The Day of the Dead is a time to remember and celebrate the lives of those who have passed.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
data (n)(pron)		dados							data	/ˈdeɪtə/	/ˈdeɪtə/	n	Facts, figures, or information collected for analysis.		datos						données						Daten						dades						dati												English::Hard_to_Pronounce English::Vocabulary Vocabulary::Chamba Vocabulary::English Vocabulary::My_Choice
dump (n)									dump	/ˈdəmp/	/ˈdʌmp/	n	A place where waste or unwanted materials are left.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Clean-Dirty
decorate (celebration)		decorar	decorar	/dɨkuˈɾaɾ/	/dekoˈɾaʁ/	v	Embelezar algo adicionando ornamentos ou cores.	Decoramos toda a casa com balões e fitas coloridas para a festa.	decorate	/ˈdɛkə˞ˌɹeɪt/	/ˈdekəreɪt/	v	To make something look more attractive by adding ornaments or colors.	We decorated the entire house with balloons and streamers for the party.	decorar						décorer						dekorieren						decorar						decorare												Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Festivals
decorative paper (Day of the Death)									decorative paper	/ˈdɛkɹətɪv ˈpʰeɪpə˞/	/ˈdekᵊrətɪv ˈpʰeɪpə/	n	Colorful paper used for ornamental purposes, such as papel picado.	The streets were filled with decorative paper banners fluttering in the wind.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
duplicate (n)(pron)		duplicata							duplicate	/ˈduplɪkət/	/ˈdjuːplɪkɪt/	n	A copy that is exactly like the original.		duplicado						duplicata						Duplikat						duplicat						duplicato												English::Hard_to_Pronounce English::Vocabulary Vocabulary::Chamba Vocabulary::English Vocabulary::My_Choice
Jack-o&#x27;-lantern (Halloween)									Jack-o&#x27;-lantern	/ˈdʒækəˌlæntə˞n/	/ˌdʒækəˈlæntən/	n	A hollowed-out pumpkin with a carved face, lit from inside by a candle.	We placed a Jack-o&#x27;-lantern on the porch to welcome trick-or-treaters.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Halloween
jay (bird)		gaio							jay	/ˈdʒeɪ/	/ˈdʒeɪ/	n	A brightly colored bird, often blue, in the crow family.		arrendajo						geai						Eichelhäher						gaig						ghiandaia												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
jump out of one&#x27;s skin (Halloween)									jump out of one&#x27;s skin	/ˈdʒəmp ˈaʊt əv ˈwənz ˈskɪn/	/ˈdʒʌmp ˈaʊt əv ˈwʌnz ˈskɪn/	exp	To be extremely startled or scared.	I nearly jumped out of my skin when my brother jumped out in a monster mask.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Halloween
jubilant (celebration)		exultante	exultante	/iʃuɫˈtɐ̃tɨ/	/iʃuwˈtɐ̃tʃi/	adj m/f	Extremamente feliz e cheio de alegria.	A multidão estava exultante quando o desfile passou.	jubilant	/ˈdʒubələnt/	/ˈdʒuːbɪlənt/	adj	Extremely happy and full of joy.	The crowd was jubilant as the parade passed by.	jubiloso						jubilatoire						jubilierend						jubilant						giubilante												Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Festivals
other (adj)(pron)		outro, outra							other	/ˈəðə˞/	/ˈʌðə/	adj	Different or distinct from one already mentioned or known.		otro,otra						autre						ander						andere						altro												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
oven (n)(pron)		forno							oven	/ˈəvən/	/ˈʌvᵊn/	n	A kitchen appliance used for baking or roasting food.		horno						four						Ofen						forn						forno												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
ex (n)(pron)		ex							ex	/ˈɛks/	/ˈeks/	n	A former spouse or partner.		ex						ex						ex						ex						ex												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
earnest (adj)									earnest	/ˈɜ˞nəst/	/ˈɜːnɪst/	adj	Serious and sincere in effort.	He's earnest and blunt, endearing him to a lot of the cadets.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Personality Vocabulary::Rude
fireworks (Day of the Death)									fireworks	/ˈfaɪə˞ˌwɜ˞ks/	/ˈfaɪəˌwɜːks/	n	Explosive displays of light and color, often used in celebrations.	Fireworks lit up the night sky as part of the Día de los Muertos festivities.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
farther (adv)(pron)		mais distante							farther	/ˈfɑrðə˞/	/ˈfɑːðə/	adv	At a more distant point or location.		más lejos						plus loin						weiter						més lluny						più lontano												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
fail (v)(pron)		falhar							fail	/ˈfeɪl/	/ˈfeɪl/	v	To not succeed in achieving a goal or result.		fallar						échouer						fehlschlagen						fallar						fallire												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
fussing									fussing	/ˈfəsɪŋ/	/ˈfʌsɪŋ/	v	Showing excessive concern or worry, often through small actions.	My grandma kept fussing over my jacket, insisting I’d catch a cold.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Ein-Riese FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Parenting Vocabulary::People::Age Vocabulary::Sounds
fuzzy (adj)									fuzzy	/ˈfəzi/	/ˈfʌzi/	adj	Unclear or indistinct.	It's the last thing he says before things get fuzzy, his thoughts a swirling mass of worry.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Feelings Vocabulary::Thinking
festivity (celebration)		festividade	a festividade	/ɐ fɨʃtiviˈdadɨ/	/a festʃiviˈdadʒi/	sf	Evento ou celebração alegre, frequentemente com atividades especiais.	A festividade durou a noite inteira, com música e dança pelas ruas.	festivity	/ˈfɛˈstɪvəti/	/fesˈtʰɪvɪti/	n	A joyful event or celebration, often with special activities.	The festivity lasted all night, with music and dancing in the streets.	festividad						festivité						Festlichkeit						festivitat						festività												Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Festivals
festival grounds (Paper Lantern Festivals)									festival grounds	/ˈfɛstəvəl ˈɡɹaʊndz/	/ˈfestɪvᵊl ˈɡraʊndz/	n	The designated area where a festival takes place, often decorated with lights and banners.	The festival grounds were filled with music, laughter, and glowing lanterns.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Asia Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Paper-Lantern-Festivals
further (adv)(pron)		mais distante							further	/ˈfɜ˞ðə˞/	/ˈfɜːðə/	adv	At a greater distance or to a greater extent.		más lejos						plus loin						weiter						més lluny						più lontano												English::Hard_to_Pronounce English::Vocabulary Vocabulary::Chamba Vocabulary::English Vocabulary::My_Choice
fidgety (adj)									fidgety	/ˈfɪdʒəti/	/#fidgety#/	adj	Restless and unable to stay still.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Movement Vocabulary::Personality
fearless (trying for the first time)									fearless	/ˈfɪrləs/	/ˈfɪələs/	adj	Showing no fear in facing challenges.	My younger brother was fearless when trying new things, unlike me.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Experiences::New Vocabulary::Life
flustering (v)									flustering	/ˈfləstə˞ɹɪŋ/	/ˈflʌstᵊrɪŋ/	v	Causing confusion or nervousness.	Who excels at flustering him, but Armin quite likes him. He's a good leader.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Feelings Vocabulary::Love
flush (adj)									flush	/ˈfləʃ/	/ˈflʌʃ/	adj	Reddened or blushing, often from heat, emotion, or exertion.	Ymir wraps her arms around her stomach and tugs her flush against her, hooking her chin over Historia's shoulder.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Flirting Vocabulary::Smut
floating lantern (Paper Lantern Festivals)									floating lantern	/ˈfloʊtɪŋ ˈlæntə˞n/	/ˈfləʊtɪŋ ˈlæntən/	n	A lantern placed on water, typically as part of a spiritual or memorial ceremony.	The river was illuminated by hundreds of floating lanterns drifting peacefully.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Asia Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Paper-Lantern-Festivals
fold (v)(pron)		dobrar							fold	/ˈfoʊld/	/ˈfəʊld/	v	To bend something over onto itself.		doblar						plier						falten						doblegar						piegare												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
foliage (n)									foliage	/ˈfoʊliɪdʒ/	/ˈfəʊliɪdʒ/	n	The leaves of plants and trees.																																						English::Vocabulary Vocabulary::My_Choice English::Vocabulary::Trees FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT Vocabulary::Forests Vocabulary::Leaf Vocabulary::Nature Vocabulary::Trees
fall (v)(pron)		cair							fall	/ˈfɔl/	/ˈfɔːl/	v	To drop or descend due to gravity.		caer						tomber						fallen						caure						cadere												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
Frankenstein (monster)									Frankenstein (Frankenstein’s monster)	/ˈfɹæŋkənˌstaɪn | ˈfɹæŋkənˌstaɪnz ˈmɑnstə˞ |/	/ˈfræŋkənstaɪn | ˈfræŋkənstaɪnz ˈmɒnstə |/	n	A fictional creature brought to life by a scientist, often portrayed as large and stitched together.	Frankenstein’s monster is often mistaken for Frankenstein himself.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Halloween Vocabulary::Monster
