money (n)(pron)		dinheiro							money	/ˈməni/	/ˈmʌni/	n	A medium of exchange in the form of coins, banknotes, or digital currency.		dinero						argent						Geld						diners						denaro
must (v)(pron)		deve							must	/ˈməst/	/ˈmʌst/	v	Indicates necessity or obligation.		debe						doit						muss						deu						deve
duplicate (n)(pron)		duplicata							duplicate	/ˈduplɪkət/	/ˈdjuːplɪkɪt/	n	A copy that is exactly like the original.		duplicado						duplicata						Duplikat						duplicat						duplicato
both (pron)(pron)		ambos							both	/ˈboʊθ/	/ˈbəʊθ/	pron	Referring to two things or people together.		ambos						les deux						beide						ambdós						entrambi
ex (n)(pron)		ex							ex	/ˈɛks/	/ˈeks/	n	A former spouse or partner.		ex						ex						ex						ex						ex
fail (v)(pron)		falhar							fail	/ˈfeɪl/	/ˈfeɪl/	v	To not succeed in achieving a goal or result.		fallar						échouer						fehlschlagen						fallar						fallire
until (conj)(pron)		até							until	/ənˈtʰɪl/	/ənˈtʰɪl/	conj	Up to the point in time or event mentioned.		hasta						jusqu'à						bis						fins						fino
blooms (flowers)		flores							blooms	/ˈblumz/	/ˈbluːmz/	np	Flowers in full blossom.		flores						fleurs						Blumen						flors						fiori
bloom (v)		florescer							bloom	/ˈblum/	/ˈbluːm/	v	To produce flowers or come into full beauty.		florecer						fleurir						blühen						florir						fiorire
bottom (n)(pron)		fundo							bottom	/ˈbɑtəm/	/ˈbɒtᵊm/	n	The lowest part of something.		fondo						fond						Boden						fons						fondo
sources (np)(pron)		fontes							sources	/ˈsɔrsəz/	/ˈsɔːsɪz/	np	Places, people, or documents that provide information.		fuentes						sources						Quellen						fonts						fonti
oven (n)(pron)		forno							oven	/ˈəvən/	/ˈʌvᵊn/	n	A kitchen appliance used for baking or roasting food.		horno						four						Ofen						forn						forno
magpie (bird)		pega-rabuda							magpie	/ˈmæɡˌpaɪ/	/ˈmæɡpaɪ/	n	A black-and-white bird known for its intelligence and attraction to shiny objects.		urraca						pie bavarde						Elster						garsa						gazza
jay (bird)		gaio							jay	/ˈdʒeɪ/	/ˈdʒeɪ/	n	A brightly colored bird, often blue, in the crow family.		arrendajo						geai						Eichelhäher						gaig						ghiandaia
chogh (bird)		chogh							chogh	/#chogh#/	/#chogh#/	n	A type of bird, also known as a red-billed chough.		chova						chough						Alpendohle						gralla de bec roig						gracchio corallino
hex (n)(pron)		feitiço							hex	/ˈhɛks/	/ˈheks/	n	A spell or curse, usually associated with magic or superstition.		hechizo						sortilège						Hexerei						encanteri						incantesimo
encounter (v)(pron)		encontrar							encounter	/ɪnˈkʰaʊntə˞/	/ɪnˈkʰaʊntə/	v	To unexpectedly meet or come across someone or something.		encontrar						rencontrer						begegnen						trobar						incontrare
uncommon (adj)(pron)		incomum							uncommon	/ˌənˈkʰɑmən/	/ʌnˈkʰɒmən/	adj	Not frequently occurring; unusual.		infrecuente						inhabituel						ungewöhnlich						inusual						insolito
limited (adj)(pron)		limitado							limited	/ˈlɪmətəd/	/ˈlɪmɪtɪd/	adj	Restricted in size, amount, or extent.		limitado						limité						begrenzt						limitat						limitato
but (conj)(pron)		mas							but	/ˈbət/	/bʌt/	conj	Used to introduce a contrast or exception.		pero						mais						aber						però						ma
minute (time)		minuto							minute	/ˈmɪnət/	/ˈmɪnɪt/	n	A unit of time equal to 60 seconds.		minuto						minute						Minute						minut						minuto
unclear (adj)(pron)		não claro							unclear	/ˌənˈklɪr/	/ʌnˈklɪə/	adj	Not easy to understand or see.		no claro						flou						unklar						no clar						non chiaro
can't (adv)(pron)		não pode							can't	/ˈkʰænt/	/ˈkʰɑːnt/	adv	Contraction of "cannot," indicating inability or prohibition.		no puede						ne peut pas						kann nicht						no pot						non può
note (v)(pron)		notar							note	/ˈnoʊt/	/ˈnəʊt/	v	To observe or record something in writing.		notar						noter						notieren						notar						notare
handoff (n)(pron)		transferência							handoff	/ˈhændˌɔf/	/#handoff#/	n	The act of passing something from one person or process to another.		transferencia						passation						Übergabe						transferència						passaggio
fold (v)(pron)		dobrar							fold	/ˈfoʊld/	/ˈfəʊld/	v	To bend something over onto itself.		doblar						plier						falten						doblegar						piegare
further (adv)(pron)		mais distante							further	/ˈfɜ˞ðə˞/	/ˈfɜːðə/	adv	At a greater distance or to a greater extent.		más lejos						plus loin						weiter						més lluny						più lontano
farther (adv)(pron)		mais distante							farther	/ˈfɑrðə˞/	/ˈfɑːðə/	adv	At a more distant point or location.		más lejos						plus loin						weiter						més lluny						più lontano
button (n)(pron)		botão							button	/ˈbətn̩/	/ˈbʌtᵊn/	n	A small, round object used for fastening clothes or operating a device.		botón						bouton						Knopf						botó						pulsante
which (pron)(pron)		qual							which	/ˈwɪtʃ/	/ˈwɪtʃ/	pron	Used to introduce a clause giving more information about something.		cual						lequel						welcher						quin						quale
buttercup (flower)		ranúnculo							buttercup	/ˈbətə˞ˌkəp/	/ˈbʌtəkʌp/	n	A small yellow wildflower.		ranúnculo						renoncule						Hahnenfuß						ranuncle						ranuncolo
bet (v)(pron)		apostar							bet	/ˈbɛt/	/ˈbet/	v	To risk something on the outcome of an event.		apostar						parier						wetten						apostar						scommettere
only (adv)(pron)		somente							only	/ˈoʊnli/	/ˈəʊnli/	adv	No more than; solely.		sólo						seulement						nur						només						solo
overwritten (adj)(pron)		sobrescrito							overwritten	/ˌoʊvə˞ˈɹɪtn̩/	/#overwritten#/	adj	Replaced or erased by writing over it.		sobrescrito						écrasé						überschrieben						sobrescrit						sovrascritto
witch (n)(pron)		bruxa							witch	/ˈwɪtʃ/	/ˈwɪtʃ/	n	A person, often a woman, believed to have magical powers.		bruja						sorcière						Hexe						bruixa						strega
rook (bird)		gralha							rook	/ˈɹʊk/	/ˈrʊk/	n	A large, black bird related to crows, common in Europe and Asia.		grajilla						corneille freux						Nebelkrähe						gralla						taccola
theory (n)(pron)		teoria							theory	/ˈθiə˞ɹi/	/ˈθɪəri/	n	A system of ideas intended to explain something.		teoría						théorie						Theorie						teoria						teoria
tombstone 		lápide							tombstone	/ˈtʰumˌstoʊn/	/ˈtʰuːmstəʊn/	n	A stone marker placed over a grave.		lápida						pierre tombale						Grabstein						làpida						tomba
grave (cemetery)		túmulo							grave	/ˈɡɹeɪv/	/ˈɡreɪv/	n	A burial place in the ground.		tumba						tombe						Grab						tomba						tomba
minute (meeting)		ata de reunião							minute	/ˈmɪnət/	/ˈmɪnɪt/	n	A written record of a meeting’s proceedings.		acta de reunión						compte rendu						Protokoll						acta de reunió						verbale
Wikipedia (n)(pron)		Wikipedia							Wikipedia	/ˈwɪkiˌpiˌdiə/	/#Wikipedia#/	n	An online encyclopedia where users contribute and edit content.		Wikipedia						Wikipédia						Wikipedia						Viquipèdia						Wikipedia
the (prep)(pron)		o, a							the	/ðə/	/ðə/	prep	Used to specify a particular person, place, or thing.		el, la						le						der						el						il
other (adj)(pron)		outro, outra							other	/ˈəðə˞/	/ˈʌðə/	adj	Different or distinct from one already mentioned or known.		otro,otra						autre						ander						andere						altro
